ID,Class
3985,net/minecraft/src/Packet38EntityStatus
4005,net/minecraft/src/ColorizerFoliage
4023,net/minecraft/src/RenderEngine
4047,net/minecraft/src/Packet24MobSpawn
4064,net/minecraft/src/EnumOS1
4083,net/minecraft/src/EntitySorter
4105,net/minecraft/src/BlockBreakable
4124,net/minecraft/src/BlockSnow
4139,net/minecraft/src/RenderCreeper
4157,net/minecraft/src/TileEntityChest
4177,net/minecraft/src/EntityFallingSand
4200,net/minecraft/src/Packet14BlockDig
4217,net/minecraft/src/BlockFence
4238,net/minecraft/src/MCHashTable
4253,net/minecraft/src/RecipesCrafting
4270,net/minecraft/src/BiomeGenBase
4290,net/minecraft/src/GuiButton
4311,net/minecraft/src/ThreadSleepForever
4328,net/minecraft/src/MinecraftImpl
4346,net/minecraft/src/Packet
4367,net/minecraft/src/RenderFireball
4385,net/minecraft/src/ModelBase
4409,net/minecraft/src/GameWindowListener
4422,net/minecraft/src/EnumOSMappingHelper
4444,net/minecraft/src/TextureWatchFX
4463,net/minecraft/src/GameSettings
4483,net/minecraft/src/RecipeSorter
4502,net/minecraft/src/ChunkProviderLoadOrGenerate
4520,net/minecraft/src/ItemHoe
4539,net/minecraft/src/ModelSkeleton
4556,net/minecraft/src/BlockDoor
4577,net/minecraft/src/Path
4595,net/minecraft/src/NBTTagEnd
4617,net/minecraft/src/EnumCreatureType
4631,net/minecraft/src/TileEntityRenderer
4656,net/minecraft/src/NBTTagFloat
4669,net/minecraft/src/Chunk
4689,net/minecraft/src/Material
4713,net/minecraft/src/ModelGhast
4726,net/minecraft/src/GuiMultiplayer
4751,net/minecraft/src/MovementInputFromOptions
4769,net/minecraft/src/EntityLiving
4783,net/minecraft/src/MaterialTransparent
4805,net/minecraft/src/ItemReed
4827,net/minecraft/src/IInventory
4846,net/minecraft/src/EntityFish
4861,net/minecraft/src/BlockGlowStone
4879,net/minecraft/src/Packet0KeepAlive
4898,net/minecraft/src/RenderEntity
4922,net/minecraft/src/RenderArrow
